week,home_team,away_team,game_id,proposition_id,correct_outcome_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick
13,TB,CAR,401547569,,,21,18,,,,,,
13,LAR,CLE,401547575,,,36,19,,,,,,
13,PHI,SF,401547276,,,19,42,,,,,,
13,GB,KC,401547576,,,27,19,,,,,,
13,JAX,CIN,401547577,,,31,34,,,,,,
14,PIT,NE,401547578,,,18,21,,,,,,
14,ATL,TB,401547579,,,25,29,,,,,,
14,CHI,DET,401547586,,,28,13,,,,,,
14,CIN,IND,401547580,,,34,14,,,,,,
14,CLE,JAX,401547581,,,31,27,,,,,,
14,NO,CAR,401547587,,,28,6,,,,,,
14,NYJ,HOU,401547582,,,30,6,,,,,,
14,BAL,LAR,401547585,,,37,31,,,,,,
14,LV,MIN,401547588,,,0,3,,,,,,
14,SF,SEA,401547589,,,28,16,,,,,,
14,KC,BUF,401547583,,,17,20,,,,,,
14,LAC,DEN,401547584,,,7,24,,,,,,
14,DAL,PHI,401547590,,,33,13,,,,,,
14,MIA,TEN,401547592,,,27,28,,,,,,
14,NYG,GB,401547591,,,24,22,,,,,,
15,LV,LAC,401547593,,,63,21,,,,,,
15,CIN,MIN,401547604,,,27,24,,,,,,
15,IND,PIT,401547607,,,30,13,,,,,,
15,DET,DEN,401547606,,,42,17,,,,,,
15,CLE,CHI,401547605,,,20,17,,,,,,
15,GB,TB,401547598,,,20,34,,,,,,
15,TEN,HOU,401547595,,,16,19,,,,,,
15,MIA,NYJ,401547594,,,30,0,,,,,,
15,NE,KC,401547608,,,17,27,,,,,,
15,NO,NYG,401547599,,,24,6,,,,,,
15,CAR,ATL,401547603,,,9,7,,,,,,
15,LAR,WSH,401547597,,,28,20,,,,,,
15,ARI,SF,401547596,,,29,45,,,,,,
15,BUF,DAL,401547600,,,31,10,,,,,,
15,JAX,BAL,401547602,,,7,23,,,,,,
15,SEA,PHI,401547601,,,20,17,,,,,,
16,LAR,NO,401547609,,,30,22,,,,,,
16,PIT,CIN,401547610,,,34,11,,,,,,
16,LAC,BUF,401547611,,,22,24,,,,,,
16,ATL,IND,401547616,,,29,10,,,,,,
16,TEN,SEA,401547614,,,17,20,,,,,,
16,MIN,DET,401547618,,,24,30,,,,,,
16,NYJ,WSH,401547613,,,30,28,,,,,,
16,CAR,GB,401547617,,,30,33,,,,,,
16,HOU,CLE,401547612,,,22,36,,,,,,
16,TB,JAX,401547615,,,30,12,,,,,,
16,CHI,ARI,401547619,,,27,16,,,,,,
16,MIA,DAL,401547620,,,22,20,,,,,,
16,DEN,NE,401547621,,,23,26,,,,,,
16,KC,LV,401547351,,,14,20,,,,,,
16,PHI,NYG,401547241,,,33,25,,,,,,
16,SF,BAL,401547622,,,19,33,,,,,,
17,CLE,NYJ,401547623,,,37,20,,,,,,
17,DAL,DET,401547624,,,20,19,,,,,,
17,BUF,NE,401547626,,,27,21,,,,,,
17,CHI,ATL,401547627,,,37,17,,,,,,
17,IND,LV,401547628,,,23,20,,,,,,
17,NYG,LAR,401547632,,,25,26,,,,,,
17,PHI,ARI,401547633,,,31,35,,,,,,
17,TB,NO,401547634,,,13,23,,,,,,
17,WSH,SF,401547635,,,10,27,,,,,,
17,JAX,CAR,401547629,,,26,0,,,,,,
17,BAL,MIA,401547625,,,56,19,,,,,,
17,HOU,TEN,401547631,,,26,3,,,,,,
17,SEA,PIT,401547636,,,23,30,,,,,,
17,DEN,LAC,401547630,,,16,9,,,,,,
17,KC,CIN,401547235,,,25,17,,,,,,
