proposition_id,home_line,correct_outcome_key,incorrect_outcome_key,prop_name,game_id
19d24540-138a-11ef-95b6-af3fb566f45b,-2.5,PIT,ATL,PIT @ ATL,401671744
1a206540-138a-11ef-9421-4b5b2bd2cbe8,-3.5,CLE,JAX,CLE @ JAX,401671635
1accd1e0-138a-11ef-99c0-11d412694269,-2.5,DEN,LV,LV @ DEN,401671747
1bf09160-138a-11ef-95b6-af3fb566f45b,,,ARI,NYJ @ ARI,401671678
1b01c490-138a-11ef-95b6-af3fb566f45b,-2.5,CHI,JAX,JAX @ CHI,401671802
1bb499d0-138a-11ef-9421-4b5b2bd2cbe8,,,CLE,LAC @ CLE,401671629
1c398140-138a-11ef-9421-4b5b2bd2cbe8,,,LAC,CIN @ LAC,401671675
1dd975a0-138a-11ef-9421-4b5b2bd2cbe8,,,BAL,CLE @ BAL,401671834
1d5bba20-138a-11ef-9421-4b5b2bd2cbe8,,,CIN,CLE @ CIN,401671811
1a8d7ef0-138a-11ef-9421-4b5b2bd2cbe8,1.5,IND,PIT,PIT @ IND,401671867
1ace7f90-138a-11ef-99c0-11d412694269,-5.5,KC,NO,NO @ KC,401671687
1a58da60-138a-11ef-99c0-11d412694269,3.5,KC,ATL,KC @ ATL,401671793
1b77def0-138a-11ef-95b6-af3fb566f45b,-2.5,,CIN,PHI @ CIN,401671667
1d273ca0-138a-11ef-95b6-af3fb566f45b,,,NO,WSH @ NO,401671737
1bb6e3c0-138a-11ef-9421-4b5b2bd2cbe8,,,SEA,LAR @ SEA,401671776
1ca8e4e0-138a-11ef-9421-4b5b2bd2cbe8,,,BUF,SF @ BUF,401671781
1a569070-138a-11ef-99c0-11d412694269,-2.5,PHI,NO,PHI @ NO,401671736
1d298690-138a-11ef-95b6-af3fb566f45b,,,PHI,PIT @ PHI,401671766
1a1e1b50-138a-11ef-9421-4b5b2bd2cbe8,-6.5,NO,DAL,NO @ DAL,401671709
1d5e0410-138a-11ef-9421-4b5b2bd2cbe8,,,IND,TEN @ IND,401671862
1a8f7ac0-138a-11ef-9421-4b5b2bd2cbe8,-9.5,SF,NE,NE @ SF,401671758
1bedf950-138a-11ef-95b6-af3fb566f45b,,,CHI,NE @ CHI,401671873
19d29360-138a-11ef-95b6-af3fb566f45b,-6.5,BUF,ARI,ARI @ BUF,401671617
