week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
12,CHI,PIT,401772780,2836af80-31cb-11f0-8209-f386d3264813,not_decided,,,,1763920800000,CHI DEFAULT,CHI DEFAULT,CHI DEFAULT,,,
12,DET,NYG,401772888,283724b0-31cb-11f0-8209-f386d3264813,not_decided,,,,1763920800000,DET DEFAULT,DET DEFAULT,DET DEFAULT,,,
12,TEN,SEA,401772886,283799e0-31cb-11f0-8209-f386d3264813,not_decided,,,,1763920800000,TEN DEFAULT,TEN DEFAULT,TEN DEFAULT,,,
12,BAL,NYJ,401772782,28380f10-31cb-11f0-8209-f386d3264813,not_decided,,,,1763920800000,BAL DEFAULT,BAL DEFAULT,BAL DEFAULT,,,
12,ARI,JAX,401772783,2838ab50-31cb-11f0-8209-f386d3264813,not_decided,,,,1763931900000,ARI DEFAULT,ARI DEFAULT,ARI DEFAULT,,,
12,NO,ATL,401772889,28392080-31cb-11f0-8209-f386d3264813,not_decided,,,,1763933100000,NO DEFAULT,NO DEFAULT,NO DEFAULT,,,
12,SF,CAR,401772820,283995b0-31cb-11f0-8209-f386d3264813,not_decided,,,,1764033300000,SF DEFAULT,SF DEFAULT,SF DEFAULT,,,
13,DET,GB,401772891,28c77dd0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764266400000,DET DEFAULT,DET DEFAULT,DET DEFAULT,,,
13,BAL,CIN,401772930,28c88f40-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764292800000,BAL DEFAULT,BAL DEFAULT,BAL DEFAULT,,,
13,PHI,CHI,401772621,28c8dd60-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764360000000,PHI DEFAULT,PHI DEFAULT,PHI DEFAULT,,,
13,CLE,SF,401772785,28c90470-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764525600000,CLE DEFAULT,CLE DEFAULT,CLE DEFAULT,,,
13,IND,HOU,401772787,28c9c7c0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764525600000,IND DEFAULT,IND DEFAULT,IND DEFAULT,,,
13,NYJ,ATL,401772893,28ca15e0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764525600000,NYJ DEFAULT,NYJ DEFAULT,NYJ DEFAULT,,,
13,CAR,LAR,401772894,28cab220-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764525600000,CAR DEFAULT,CAR DEFAULT,CAR DEFAULT,,,
13,PIT,BUF,401772789,28cb4e60-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764537900000,PIT DEFAULT,PIT DEFAULT,PIT DEFAULT,,,
13,WSH,DEN,401772931,28cbc390-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764552000000,WSH DEFAULT,WSH DEFAULT,WSH DEFAULT,,,
13,NE,NYG,401772821,28cc38c0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764638100000,NE DEFAULT,NE DEFAULT,NE DEFAULT,,,
14,DET,DAL,401772947,297486b0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1764897300000,DET DEFAULT,DET DEFAULT,DET DEFAULT,,,
14,ATL,SEA,401772900,297522f0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765130400000,ATL DEFAULT,ATL DEFAULT,ATL DEFAULT,,,
14,GB,CHI,401772897,2975bf30-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765130400000,GB DEFAULT,GB DEFAULT,GB DEFAULT,,,
14,NYJ,MIA,401772790,29763460-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765130400000,NYJ DEFAULT,NYJ DEFAULT,NYJ DEFAULT,,,
14,JAX,IND,401772793,2976d0a0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765130400000,JAX DEFAULT,JAX DEFAULT,JAX DEFAULT,,,
14,LV,DEN,401772794,297745d0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765141500000,LV DEFAULT,LV DEFAULT,LV DEFAULT,,,
14,ARI,LAR,401772901,2977e210-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765142700000,ARI DEFAULT,ARI DEFAULT,ARI DEFAULT,,,
14,LAC,PHI,401772822,29785740-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765242900000,LAC DEFAULT,LAC DEFAULT,LAC DEFAULT,,,
15,TB,ATL,401772948,29d1c1e0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765502100000,TB DEFAULT,TB DEFAULT,TB DEFAULT,,,
15,CHI,CLE,401772904,29d28530-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765735200000,CHI DEFAULT,CHI DEFAULT,CHI DEFAULT,,,
15,KC,LAC,401772798,29d32170-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765735200000,KC DEFAULT,KC DEFAULT,KC DEFAULT,,,
15,NYG,WSH,401772905,29d396a0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765735200000,NYG DEFAULT,NYG DEFAULT,NYG DEFAULT,,,
15,JAX,NYJ,401772797,29d432e0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765735200000,JAX DEFAULT,JAX DEFAULT,JAX DEFAULT,,,
15,DEN,GB,401772800,29d48100-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765747500000,DEN DEFAULT,DEN DEFAULT,DEN DEFAULT,,,
15,NO,CAR,401772908,29d51d40-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765747500000,NO DEFAULT,NO DEFAULT,NO DEFAULT,,,
15,SEA,IND,401772799,29d5b980-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765747500000,SEA DEFAULT,SEA DEFAULT,SEA DEFAULT,,,
15,PIT,MIA,401772823,29d62eb0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1765847700000,PIT DEFAULT,PIT DEFAULT,PIT DEFAULT,,,
16,SEA,LAR,401772949,2a36ec50-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766106900000,SEA DEFAULT,SEA DEFAULT,SEA DEFAULT,,,
16,CHI,GB,401772613,2a37afa0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766206800000,CHI DEFAULT,CHI DEFAULT,CHI DEFAULT,,,
16,CLE,BUF,401772802,2a384be0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766340000000,CLE DEFAULT,CLE DEFAULT,CLE DEFAULT,,,
