proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr,prop_date
2b212540-31cb-11f0-8209-f386d3264813,,NYJ @ BUF,401772967,2b212541-31cb-11f0-8209-f386d3264813,NYJ,2b212542-31cb-11f0-8209-f386d3264813,BUF,1767502800000
250e6d70-31cb-11f0-8209-f386d3264813,,NO @ SEA,401772736,250e6d71-31cb-11f0-8209-f386d3264813,NO,250e6d72-31cb-11f0-8209-f386d3264813,SEA,1758485100000
26961ee0-31cb-11f0-ab53-41ce0449976f,,GB @ PIT,401772925,26961ee1-31cb-11f0-ab53-41ce0449976f,GB,26961ee2-31cb-11f0-ab53-41ce0449976f,PIT,1761524400000
2706e210-31cb-11f0-ab53-41ce0449976f,,DEN @ HOU,401772870,2706e211-31cb-11f0-ab53-41ce0449976f,DEN,2706e212-31cb-11f0-ab53-41ce0449976f,HOU,1762106400000
28c8dd60-31cb-11f0-a687-2b56ff546787,,CHI @ PHI,401772621,28c8dd61-31cb-11f0-a687-2b56ff546787,CHI,28c8dd62-31cb-11f0-a687-2b56ff546787,PHI,1764360000000
2976f7b0-31cb-11f0-a687-2b56ff546787,,PIT @ BAL,401772791,2976f7b1-31cb-11f0-a687-2b56ff546787,PIT,2976f7b2-31cb-11f0-a687-2b56ff546787,BAL,1765130400000
25f5c030-31cb-11f0-a687-2b56ff546787,,BUF @ ATL,401772815,25f5c031-31cb-11f0-a687-2b56ff546787,BUF,25f5c032-31cb-11f0-a687-2b56ff546787,ATL,1760397300000
2b23bd50-31cb-11f0-8209-f386d3264813,,WSH @ PHI,401772959,2b23bd51-31cb-11f0-8209-f386d3264813,WSH,2b23bd52-31cb-11f0-8209-f386d3264813,PHI,1767502800000
2aa8c0f0-31cb-11f0-ab53-41ce0449976f,,ARI @ CIN,401772954,2aa8c0f1-31cb-11f0-ab53-41ce0449976f,ARI,2aa8c0f2-31cb-11f0-ab53-41ce0449976f,CIN,1766811600000
24c2e580-31cb-11f0-8209-f386d3264813,,ATL @ MIN,401772919,24c2e581-31cb-11f0-8209-f386d3264813,ATL,24c2e582-31cb-11f0-8209-f386d3264813,MIN,1757895600000
25f2da00-31cb-11f0-a687-2b56ff546787,,ARI @ IND,401772856,25f2da01-31cb-11f0-a687-2b56ff546787,ARI,25f2da02-31cb-11f0-a687-2b56ff546787,IND,1760288400000
2aaabcc0-31cb-11f0-ab53-41ce0449976f,,TB @ MIA,401772916,2aaabcc1-31cb-11f0-ab53-41ce0449976f,TB,2aaabcc2-31cb-11f0-ab53-41ce0449976f,MIA,1766944800000
250c4a90-31cb-11f0-8209-f386d3264813,,CIN @ MIN,401772731,250c4a91-31cb-11f0-8209-f386d3264813,CIN,250c4a92-31cb-11f0-8209-f386d3264813,MIN,1758474000000
28cc38c0-31cb-11f0-a687-2b56ff546787,,NYG @ NE,401772821,28cc38c1-31cb-11f0-a687-2b56ff546787,NYG,28cc38c2-31cb-11f0-a687-2b56ff546787,NE,1764638100000
2836af80-31cb-11f0-8209-f386d3264813,,PIT @ CHI,401772780,2836af81-31cb-11f0-8209-f386d3264813,PIT,2836af82-31cb-11f0-8209-f386d3264813,CHI,1763920800000
25f4d5d0-31cb-11f0-a687-2b56ff546787,,TEN @ LV,401772859,25f4d5d1-31cb-11f0-a687-2b56ff546787,TEN,25f4d5d2-31cb-11f0-a687-2b56ff546787,LV,1760299500000
29d459f0-31cb-11f0-a687-2b56ff546787,,ARI @ HOU,401772903,29d459f1-31cb-11f0-a687-2b56ff546787,ARI,29d459f2-31cb-11f0-a687-2b56ff546787,HOU,1765735200000
24c27050-31cb-11f0-8209-f386d3264813,,CAR @ ARI,401772730,24c27051-31cb-11f0-8209-f386d3264813,CAR,24c27052-31cb-11f0-8209-f386d3264813,ARI,1757880300000
275b91c0-31cb-11f0-ab53-41ce0449976f,,DET @ WSH,401772878,275b91c1-31cb-11f0-ab53-41ce0449976f,DET,275b91c2-31cb-11f0-ab53-41ce0449976f,WSH,1762723500000
2b2236b0-31cb-11f0-8209-f386d3264813,,LAC @ DEN,401772956,2b2236b1-31cb-11f0-8209-f386d3264813,LAC,2b2236b2-31cb-11f0-8209-f386d3264813,DEN,1767502800000
25533ea0-31cb-11f0-8209-f386d3264813,,CLE @ DET,401772846,25533ea1-31cb-11f0-8209-f386d3264813,CLE,25533ea2-31cb-11f0-8209-f386d3264813,DET,1759078800000
27c37b50-31cb-11f0-8209-f386d3264813,,NYJ @ NE,401772945,27c37b51-31cb-11f0-8209-f386d3264813,NYJ,27c37b52-31cb-11f0-8209-f386d3264813,NE,1763082900000
2a3a20a0-31cb-11f0-ab53-41ce0449976f,,JAX @ DEN,401772913,2a3a20a1-31cb-11f0-ab53-41ce0449976f,JAX,2a3a20a2-31cb-11f0-ab53-41ce0449976f,DEN,1766351100000
2474ec90-31cb-11f0-ab53-41ce0449976f,-6.5,NYG @ WSH,401772827,2474ec91-31cb-11f0-ab53-41ce0449976f,NYG,2474ec92-31cb-11f0-ab53-41ce0449976f,WSH,1757264400000
24bd4030-31cb-11f0-8209-f386d3264813,,WSH @ GB,401772936,24bd4031-31cb-11f0-8209-f386d3264813,WSH,24bd4032-31cb-11f0-8209-f386d3264813,GB,1757636100000
