week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
18,DEN,LAC,401772956,,,,,,,,,,,,
18,LV,KC,401772957,,,,,,,,,,,,
18,LAR,ARI,401772955,,,,,,,,,,,,
18,MIN,GB,401772968,,,,,,,,,,,,
18,NE,MIA,401772958,,,,,,,,,,,,
18,NYG,DAL,401772963,,,,,,,,,,,,
18,PHI,WSH,401772959,,,,,,,,,,,,
18,PIT,BAL,401772960,,,,,,,,,,,,
18,SF,SEA,401772961,,,,,,,,,,,,
18,TB,CAR,401772969,,,,,,,,,,,,
18,JAX,TEN,401772970,,,,,,,,,,,,
18,HOU,IND,401772962,,,,,,,,,,,,
