proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr
1a90b340-138a-11ef-9421-4b5b2bd2cbe8,0.5,TEN @ MIA,401671683,1a90b341-138a-11ef-9421-4b5b2bd2cbe8,TEN,1a90b342-138a-11ef-9421-4b5b2bd2cbe8,MIA
1c6d8990-138a-11ef-99c0-11d412694269,,NE @ MIA,401671847,1c6d8991-138a-11ef-99c0-11d412694269,NE,1c6d8992-138a-11ef-99c0-11d412694269,MIA
1d9d5700-138a-11ef-99c0-11d412694269,,CAR @ TB,401671653,1d9d5701-138a-11ef-99c0-11d412694269,CAR,1d9d5702-138a-11ef-99c0-11d412694269,TB
1bb38860-138a-11ef-9421-4b5b2bd2cbe8,-2.5,DAL @ ATL,401671728,1bb38861-138a-11ef-9421-4b5b2bd2cbe8,DAL,1bb38862-138a-11ef-9421-4b5b2bd2cbe8,ATL
1b059520-138a-11ef-95b6-af3fb566f45b,3.5,CIN @ NYG,401671791,1b059521-138a-11ef-95b6-af3fb566f45b,CIN,1b059522-138a-11ef-95b6-af3fb566f45b,NYG
1a577ad0-138a-11ef-99c0-11d412694269,-5.5,CAR @ LV,401671658,1a577ad1-138a-11ef-99c0-11d412694269,CAR,1a577ad2-138a-11ef-99c0-11d412694269,LV
1bedab30-138a-11ef-95b6-af3fb566f45b,4.5,NYG @ CAR,401671803,1bedab31-138a-11ef-95b6-af3fb566f45b,NYG,1bedab32-138a-11ef-95b6-af3fb566f45b,CAR
1acc35a0-138a-11ef-99c0-11d412694269,-2.5,IND @ JAX,401671633,1acc35a1-138a-11ef-99c0-11d412694269,IND,1acc35a2-138a-11ef-99c0-11d412694269,JAX
1c6c2a00-138a-11ef-99c0-11d412694269,,PIT @ CLE,401671875,1c6c2a01-138a-11ef-99c0-11d412694269,PIT,1c6c2a02-138a-11ef-99c0-11d412694269,CLE
1ceec780-138a-11ef-99c0-11d412694269,,CLE @ PIT,401671631,1ceec781-138a-11ef-99c0-11d412694269,CLE,1ceec782-138a-11ef-99c0-11d412694269,PIT
1ca7fa80-138a-11ef-9421-4b5b2bd2cbe8,,LAR @ NO,401671753,1ca7fa81-138a-11ef-9421-4b5b2bd2cbe8,LAR,1ca7fa82-138a-11ef-9421-4b5b2bd2cbe8,NO
1a8ce2b0-138a-11ef-9421-4b5b2bd2cbe8,-2.5,LAR @ CHI,401671871,1a8ce2b1-138a-11ef-9421-4b5b2bd2cbe8,LAR,1a8ce2b2-138a-11ef-9421-4b5b2bd2cbe8,CHI
1d9d08e0-138a-11ef-99c0-11d412694269,,LV @ NO,401671738,1d9d08e1-138a-11ef-99c0-11d412694269,LV,1d9d08e2-138a-11ef-99c0-11d412694269,NO
1b7742b0-138a-11ef-95b6-af3fb566f45b,-7.5,NO @ LAC,401671750,1b7742b1-138a-11ef-95b6-af3fb566f45b,NO,1b7742b2-138a-11ef-95b6-af3fb566f45b,LAC
1ca5b090-138a-11ef-9421-4b5b2bd2cbe8,,LAC @ ATL,401671649,1ca5b091-138a-11ef-9421-4b5b2bd2cbe8,LAC,1ca5b092-138a-11ef-9421-4b5b2bd2cbe8,ATL
1d27d8e0-138a-11ef-95b6-af3fb566f45b,,DAL @ CAR,401671731,1d27d8e1-138a-11ef-95b6-af3fb566f45b,DAL,1d27d8e2-138a-11ef-95b6-af3fb566f45b,CAR
1dd52fe0-138a-11ef-9421-4b5b2bd2cbe8,,MIN @ DET,401671843,1dd52fe1-138a-11ef-9421-4b5b2bd2cbe8,MIN,1dd52fe2-138a-11ef-9421-4b5b2bd2cbe8,DET
1acb7250-138a-11ef-99c0-11d412694269,2.5,BAL @ CIN,401671626,1acb7251-138a-11ef-99c0-11d412694269,BAL,1acb7252-138a-11ef-99c0-11d412694269,CIN
1b3b9940-138a-11ef-99c0-11d412694269,-3.5,MIA @ IND,401671864,1b3b9941-138a-11ef-99c0-11d412694269,MIA,1b3b9942-138a-11ef-99c0-11d412694269,IND
1ca848a0-138a-11ef-9421-4b5b2bd2cbe8,,TB @ CAR,401671752,1ca848a1-138a-11ef-9421-4b5b2bd2cbe8,TB,1ca848a2-138a-11ef-9421-4b5b2bd2cbe8,CAR
1b793e80-138a-11ef-95b6-af3fb566f45b,-6.5,NYG @ PIT,401671685,1b793e81-138a-11ef-95b6-af3fb566f45b,NYG,1b793e82-138a-11ef-95b6-af3fb566f45b,PIT
1c7096d0-138a-11ef-99c0-11d412694269,,BAL @ LAC,401671689,1c7096d1-138a-11ef-99c0-11d412694269,BAL,1c7096d2-138a-11ef-99c0-11d412694269,LAC
1a1d7f10-138a-11ef-9421-4b5b2bd2cbe8,-1.5,BUF @ MIA,401671807,1a1d7f11-138a-11ef-9421-4b5b2bd2cbe8,BUF,1a1d7f12-138a-11ef-9421-4b5b2bd2cbe8,MIA
1a201720-138a-11ef-9421-4b5b2bd2cbe8,6.5,LAC @ CAR,401671652,1a201721-138a-11ef-9421-4b5b2bd2cbe8,LAC,1a201722-138a-11ef-9421-4b5b2bd2cbe8,CAR
19d1f720-138a-11ef-95b6-af3fb566f45b,-1.5,GB @ PHI,401671805,19d1f721-138a-11ef-95b6-af3fb566f45b,GB,19d1f722-138a-11ef-95b6-af3fb566f45b,PHI
1b745c80-138a-11ef-95b6-af3fb566f45b,2.5,MIN @ LAR,401671817,1b745c81-138a-11ef-95b6-af3fb566f45b,MIN,1b745c82-138a-11ef-95b6-af3fb566f45b,LAR
1dd779d0-138a-11ef-9421-4b5b2bd2cbe8,,BUF @ NE,401671831,1dd779d1-138a-11ef-9421-4b5b2bd2cbe8,BUF,1dd779d2-138a-11ef-9421-4b5b2bd2cbe8,NE
1c393320-138a-11ef-9421-4b5b2bd2cbe8,-2.5,KC @ BUF,401671665,1c393321-138a-11ef-9421-4b5b2bd2cbe8,KC,1c393322-138a-11ef-9421-4b5b2bd2cbe8,BUF
