week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
7,MIN,DET,401671724,1b3bc050-138a-11ef-99c0-11d412694269,DET,29,31,-2.5,MIN,DET,MIN,DET,,
7,NYG,PHI,401671710,1b3c3580-138a-11ef-99c0-11d412694269,PHI,3,28,3.5,PHI,PHI,NYG,PHI,,
7,LAR,LV,401671663,1b3c5c90-138a-11ef-99c0-11d412694269,LV,20,15,-5.5,LAR,LV,LAR,LV,,
7,WSH,CAR,401671640,1b3cd1c0-138a-11ef-99c0-11d412694269,WSH,40,7,-7.5,WSH,WSH,WSH,WSH,,
7,SF,KC,401671777,1b3d46f0-138a-11ef-99c0-11d412694269,KC,18,28,-1.5,KC,KC,SF,KC,,
7,PIT,NYJ,401671785,1b3d6e00-138a-11ef-99c0-11d412694269,PIT,37,15,0.5,PIT,PIT,PIT,NYJ,,
7,TB,BAL,401671695,1b3dbc20-138a-11ef-99c0-11d412694269,BAL,31,41,3.5,BAL,BAL,TB,BAL,,
7,ARI,LAC,401671699,1b3e0a40-138a-11ef-99c0-11d412694269,ARI,17,15,2.5,ARI,ARI,ARI,LAC,,
8,LAR,MIN,401671817,1b745c80-138a-11ef-95b6-af3fb566f45b,LAR,30,20,2.5,MIN,MIN,LAR,MIN,,
8,CIN,PHI,401671667,1b77def0-138a-11ef-95b6-af3fb566f45b,PHI,17,37,-2.5,PHI,CIN,CIN,PHI,,
8,CLE,BAL,401671852,1b74f8c0-138a-11ef-95b6-af3fb566f45b,CLE,29,24,9.5,BAL,CLE,BAL,BAL,,
8,DET,TEN,401671720,1b756df0-138a-11ef-95b6-af3fb566f45b,DET,52,14,-11.5,TEN,TEN,TEN,DET,,
8,MIA,ARI,401671850,1b759500-138a-11ef-95b6-af3fb566f45b,ARI,27,28,-3.5,MIA,ARI,MIA,MIA,,
8,NE,NYJ,401671618,1b75e320-138a-11ef-95b6-af3fb566f45b,NE,25,22,7.5,NYJ,NYJ,NE,NYJ,,
8,TB,ATL,401671739,1b763140-138a-11ef-95b6-af3fb566f45b,ATL,26,31,-2.5,TB,TB,TB,ATL,,
8,JAX,GB,401671707,1b76a670-138a-11ef-95b6-af3fb566f45b,JAX,27,30,4.5,GB,GB,JAX,GB,,
8,HOU,IND,401671856,1b76f490-138a-11ef-95b6-af3fb566f45b,IND,23,20,-5.5,HOU,HOU,HOU,HOU,,
8,LAC,NO,401671750,1b7742b0-138a-11ef-95b6-af3fb566f45b,LAC,26,8,-7.5,LAC,NO,LAC,NO,,
